기관,구분,과정명,대상,형태,기간·시수,특징·커리큘럼,출처,확인수준,확인일
멀티캠퍼스,기업교육(B2B),AI 교육체계 (ChatGPT 업무자동화·파이썬코딩·[ChatGPT를 묻다]·[AI Sense]·[AI Start] 등),기업 임직원,확인 필요,확인 필요,업종·니즈별로 필요한 과정만 골라 쓰는 선택형 구성. 현업 문제해결 후 빠른 실무 적용을 표방,https://www.multicampus.com/b2b/kr/solution/ai/,검색요약,2026-09-13
패스트캠퍼스,기업교육(B2B),기업교육 AI 커리큘럼,기업 임직원,확인 필요,확인 필요,"""1,000명의 직원을 위한 1,000개의 커리큘럼"" 표방. 2026-01-28 'AI 교육 킥오프 워크숍' 개최",https://b2b.fastcampus.co.kr/resource_seminar_2026aikickoff,검색요약,2026-09-13
휴넷,기업교육(B2B),AI 칼리지 (AI College),전 직원 기초 ~ 직무별 심화,확인 필요,확인 필요,직무별 업무 시나리오에 맞춘 실전형 구성. 'AI 기업교육 고객사 4배·매출 2배 성장' 보도 — 직무 특화가 먹혔다는 주장,https://hbs.hunet.co.kr/Hybrid/AICollege,기사+검색요약,2026-09-13
한국표준협회 (KSA),공공·협회,2026 KSA 아카이브 (AX·DX 역량),기업 임직원,확인 필요,확인 필요,생성형 AI 실무활용/데이터분석/R&D/제조·품질 등 직무별 + 리더십·공통역량까지 포괄,https://ksa.or.kr/bbs/ksa_kr/192/1590111/artclView.do,검색요약,2026-09-13
한국생산성본부 (KPC),공공·협회,AI 아카데미,확인 필요,확인 필요,확인 필요,과정 구성 미확인 — 원문 확인 필요,https://www.kpc.or.kr/PTWSL002_index.do,검색요약,2026-09-13
서울대 AI 기업교육센터 (SACTA),대학,생성형 AI 과정 (Type A),기업 임직원,확인 필요,확인 필요,Type A/B… 유형별로 과정을 나눠 편성하는 방식,https://sacta.snu.ac.kr/,검색요약,2026-09-13
삼성전자 (사내),대기업 사내,생성형 AI 파워 유저,국내 전 임직원,이론 강의 + 실습,총 4단계,"AI 이해 → 업무별 활용사례 → AI 도구 제작 실습. KAIST 공동 개발 인증시험(SKADA) 운영, 인증 시 평가·승진·인사이동 혜택",https://news.nate.com/view/20240903n33330,기사인용,2026-09-13
SK그룹 (사내),대기업 사내,mySUNI,그룹·SKT 임직원,사내 교육 플랫폼,상시,그룹 전체를 묶는 플랫폼 형태로 운영,https://www.mysuni-sk.com/,검색요약,2026-09-13
LG전자 (사내),대기업 사내,임원 대상 AI·SW 교육,국내 주재 임원 약 200명,확인 필요,확인 필요,AI 적용 제품 사례 + 생성형 AI 등 최신 기술 변화 중심. 임원부터 태운 사례,https://news.nate.com/view/20240903n33330,기사인용,2026-09-13
KDT AI 캠퍼스 운영기관 (예: 한국기술사업화진흥협회),정부 훈련,K-Digital 인공지능 전문가 양성과정 (MLOps 중심),청년·취준생 (국민내일배움카드),오프라인 (대전),2026-07-22 ~ 2027-03-16 / 25명,"바이브코딩 활용 개발자·기획자, 실무형 AI 엔지니어 목표. 훈련수당 수도권 40만·비수도권 60만·인구감소지역 80만원/월",https://www.devtimes.co.kr/news/504654,기사인용,2026-09-13
